train_loss,grad_2.0_norm_net.nodevec1,grad_2.0_norm_net.nodevec2,grad_2.0_norm_net.filter_convs.0.weight,grad_2.0_norm_net.filter_convs.0.bias,grad_2.0_norm_net.filter_convs.1.weight,grad_2.0_norm_net.filter_convs.1.bias,grad_2.0_norm_net.filter_convs.2.weight,grad_2.0_norm_net.filter_convs.2.bias,grad_2.0_norm_net.filter_convs.3.weight,grad_2.0_norm_net.filter_convs.3.bias,grad_2.0_norm_net.filter_convs.4.weight,grad_2.0_norm_net.filter_convs.4.bias,grad_2.0_norm_net.filter_convs.5.weight,grad_2.0_norm_net.filter_convs.5.bias,grad_2.0_norm_net.filter_convs.6.weight,grad_2.0_norm_net.filter_convs.6.bias,grad_2.0_norm_net.filter_convs.7.weight,grad_2.0_norm_net.filter_convs.7.bias,grad_2.0_norm_net.gate_convs.0.weight,grad_2.0_norm_net.gate_convs.0.bias,grad_2.0_norm_net.gate_convs.1.weight,grad_2.0_norm_net.gate_convs.1.bias,grad_2.0_norm_net.gate_convs.2.weight,grad_2.0_norm_net.gate_convs.2.bias,grad_2.0_norm_net.gate_convs.3.weight,grad_2.0_norm_net.gate_convs.3.bias,grad_2.0_norm_net.gate_convs.4.weight,grad_2.0_norm_net.gate_convs.4.bias,grad_2.0_norm_net.gate_convs.5.weight,grad_2.0_norm_net.gate_convs.5.bias,grad_2.0_norm_net.gate_convs.6.weight,grad_2.0_norm_net.gate_convs.6.bias,grad_2.0_norm_net.gate_convs.7.weight,grad_2.0_norm_net.gate_convs.7.bias,grad_2.0_norm_net.skip_convs.0.weight,grad_2.0_norm_net.skip_convs.0.bias,grad_2.0_norm_net.skip_convs.1.weight,grad_2.0_norm_net.skip_convs.1.bias,grad_2.0_norm_net.skip_convs.2.weight,grad_2.0_norm_net.skip_convs.2.bias,grad_2.0_norm_net.skip_convs.3.weight,grad_2.0_norm_net.skip_convs.3.bias,grad_2.0_norm_net.skip_convs.4.weight,grad_2.0_norm_net.skip_convs.4.bias,grad_2.0_norm_net.skip_convs.5.weight,grad_2.0_norm_net.skip_convs.5.bias,grad_2.0_norm_net.skip_convs.6.weight,grad_2.0_norm_net.skip_convs.6.bias,grad_2.0_norm_net.skip_convs.7.weight,grad_2.0_norm_net.skip_convs.7.bias,grad_2.0_norm_net.bn.0.weight,grad_2.0_norm_net.bn.0.bias,grad_2.0_norm_net.bn.1.weight,grad_2.0_norm_net.bn.1.bias,grad_2.0_norm_net.bn.2.weight,grad_2.0_norm_net.bn.2.bias,grad_2.0_norm_net.bn.3.weight,grad_2.0_norm_net.bn.3.bias,grad_2.0_norm_net.bn.4.weight,grad_2.0_norm_net.bn.4.bias,grad_2.0_norm_net.bn.5.weight,grad_2.0_norm_net.bn.5.bias,grad_2.0_norm_net.bn.6.weight,grad_2.0_norm_net.bn.6.bias,grad_2.0_norm_net.gconv.0.mlp.mlp.weight,grad_2.0_norm_net.gconv.0.mlp.mlp.bias,grad_2.0_norm_net.gconv.1.mlp.mlp.weight,grad_2.0_norm_net.gconv.1.mlp.mlp.bias,grad_2.0_norm_net.gconv.2.mlp.mlp.weight,grad_2.0_norm_net.gconv.2.mlp.mlp.bias,grad_2.0_norm_net.gconv.3.mlp.mlp.weight,grad_2.0_norm_net.gconv.3.mlp.mlp.bias,grad_2.0_norm_net.gconv.4.mlp.mlp.weight,grad_2.0_norm_net.gconv.4.mlp.mlp.bias,grad_2.0_norm_net.gconv.5.mlp.mlp.weight,grad_2.0_norm_net.gconv.5.mlp.mlp.bias,grad_2.0_norm_net.gconv.6.mlp.mlp.weight,grad_2.0_norm_net.gconv.6.mlp.mlp.bias,grad_2.0_norm_net.start_conv.weight,grad_2.0_norm_net.start_conv.bias,grad_2.0_norm_net.end_conv_1.weight,grad_2.0_norm_net.end_conv_1.bias,grad_2.0_norm_net.end_conv_2.weight,grad_2.0_norm_net.end_conv_2.bias,grad_2.0_norm_total,epoch,created_at
0.17092563211917877,0.0002,0.0004,0.069,0.0112,0.047,0.009,0.0343,0.007,0.0479,0.0073,0.037,0.0088,0.0405,0.0077,0.0373,0.0087,0.0291,0.0058,0.0087,0.0018,0.012,0.0012,0.0118,0.0012,0.0102,0.0014,0.0108,0.001,0.0113,0.001,0.0119,0.0013,0.0063,0.0009,0.0163,0.0229,0.021,0.0229,0.0209,0.0229,0.0221,0.0229,0.0214,0.0229,0.0213,0.0229,0.0231,0.0229,0.0186,0.0229,0.0046,0.0061,0.0039,0.0049,0.0042,0.0054,0.0028,0.0061,0.0036,0.0067,0.0031,0.0074,0.0023,0.0039,0.0586,0.0028,0.0354,0.0007,0.0365,0.0004,0.0267,0.0004,0.0236,0.0005,0.0146,0.0003,0.0058,0.0001,0.0477,0.0089,0.1387,0.0281,0.3248,0.091,0.4109,0,2020-11-24 17:53:38.499935
0.12760168313980103,0.0003,0.0005,0.0386,0.0042,0.0466,0.0034,0.0396,0.0028,0.0311,0.003,0.0291,0.0023,0.0235,0.0035,0.0304,0.0035,0.0358,0.0029,0.0082,0.0015,0.009,0.0008,0.0125,0.0012,0.0119,0.001,0.0114,0.0009,0.0161,0.0016,0.016,0.0012,0.0095,0.0006,0.0153,0.0115,0.0171,0.0115,0.0151,0.0115,0.0209,0.0115,0.0197,0.0115,0.0203,0.0115,0.0213,0.0115,0.0153,0.0115,0.0023,0.002,0.0029,0.0016,0.0032,0.0019,0.0018,0.0015,0.0031,0.0028,0.003,0.0025,0.0017,0.0018,0.0324,0.0045,0.0154,0.0006,0.012,0.0004,0.0116,0.0004,0.0098,0.0003,0.0069,0.0002,0.0042,0.0001,0.0233,0.0021,0.1099,0.0177,0.2677,0.0406,0.3208,0,2020-11-24 17:53:47.359733
0.32426580786705017,0.0007,0.0013,0.0935,0.0142,0.0645,0.006,0.0427,0.0062,0.0583,0.006,0.0469,0.0057,0.052,0.006,0.038,0.0049,0.0414,0.0046,0.0184,0.0019,0.0252,0.0018,0.0183,0.0011,0.0213,0.0015,0.0189,0.0015,0.0205,0.0013,0.0208,0.0018,0.0124,0.0012,0.0294,0.0227,0.0419,0.0227,0.0336,0.0227,0.041,0.0227,0.0287,0.0227,0.0403,0.0227,0.0364,0.0227,0.0319,0.0227,0.0073,0.0047,0.0041,0.0041,0.0046,0.0042,0.0035,0.0034,0.0052,0.0046,0.0042,0.0037,0.0037,0.0024,0.0593,0.0042,0.035,0.0008,0.032,0.0006,0.0211,0.0006,0.0159,0.0004,0.0103,0.0003,0.0062,0.0001,0.0617,0.0139,0.2358,0.0279,0.5958,0.0983,0.69,0,2020-11-24 17:53:56.232086
0.24281208217144012,0.0003,0.0006,0.1138,0.0235,0.0601,0.0094,0.0369,0.0076,0.0536,0.0079,0.0419,0.0079,0.0399,0.0079,0.034,0.0077,0.0383,0.0066,0.0204,0.0027,0.0251,0.0019,0.0217,0.0012,0.0197,0.0017,0.0257,0.0018,0.0211,0.0016,0.0263,0.002,0.0147,0.0013,0.0357,0.0291,0.0421,0.0291,0.0407,0.0291,0.043,0.0291,0.0335,0.0291,0.0452,0.0291,0.0416,0.0291,0.0321,0.0291,0.0065,0.0075,0.0036,0.0051,0.0046,0.0059,0.0028,0.0051,0.0045,0.0063,0.0031,0.0062,0.0035,0.0037,0.0614,0.0025,0.0281,0.0006,0.0221,0.0005,0.0175,0.0005,0.012,0.0003,0.0088,0.0003,0.0054,0.0001,0.0634,0.0269,0.2494,0.0337,0.6396,0.1286,0.742,0,2020-11-24 17:54:05.120443
0.14925934374332428,0.0001,0.0003,0.0379,0.0081,0.0223,0.0042,0.0162,0.0037,0.017,0.0032,0.0114,0.0029,0.0147,0.0033,0.0127,0.0032,0.0127,0.0026,0.0103,0.0009,0.0092,0.0007,0.0079,0.0005,0.0078,0.0007,0.0096,0.0005,0.0083,0.0006,0.0103,0.0006,0.0061,0.0005,0.0167,0.012,0.0164,0.012,0.0154,0.012,0.0171,0.012,0.0122,0.012,0.0178,0.012,0.0158,0.012,0.0123,0.012,0.0026,0.0034,0.0015,0.0024,0.0016,0.0024,0.0011,0.0019,0.0016,0.0028,0.0012,0.0025,0.0012,0.0017,0.0219,0.0012,0.0118,0.0005,0.0093,0.0003,0.0086,0.0003,0.0065,0.0002,0.0045,0.0002,0.0023,0.0001,0.0209,0.0097,0.1069,0.0145,0.2948,0.0604,0.3326,0,2020-11-24 17:54:14.036654
0.06568089872598648,0.0001,0.0002,0.016,0.0044,0.0069,0.0022,0.0053,0.0019,0.006,0.0019,0.0049,0.0019,0.0056,0.002,0.0062,0.0022,0.005,0.0014,0.0026,0.0005,0.0021,0.0002,0.0018,0.0002,0.0019,0.0002,0.0024,0.0002,0.0022,0.0002,0.0027,0.0003,0.0021,0.0001,0.0052,0.0053,0.0041,0.0053,0.0044,0.0053,0.005,0.0053,0.0039,0.0053,0.0055,0.0053,0.0048,0.0053,0.0047,0.0053,0.0007,0.0014,0.0005,0.0014,0.0004,0.0014,0.0004,0.0013,0.0006,0.0016,0.0005,0.0017,0.0004,0.0008,0.0104,0.0008,0.0053,0.0003,0.0044,0.0003,0.0039,0.0002,0.0027,0.0001,0.0024,0.0001,0.0009,0.0,0.009,0.0049,0.0383,0.0074,0.1193,0.0201,0.1321,0,2020-11-24 17:54:22.932481
0.08840589970350266,0.0002,0.0002,0.0808,0.0175,0.0348,0.0063,0.021,0.0056,0.0256,0.0053,0.0226,0.0051,0.0192,0.0053,0.0165,0.0048,0.0182,0.004,0.0179,0.0019,0.0113,0.001,0.011,0.0006,0.0093,0.0009,0.013,0.0007,0.0117,0.0008,0.0126,0.0007,0.0065,0.0006,0.0286,0.0197,0.0242,0.0197,0.0235,0.0197,0.025,0.0197,0.0181,0.0197,0.0262,0.0197,0.0227,0.0197,0.0159,0.0197,0.0046,0.0047,0.0023,0.0037,0.0025,0.0039,0.0017,0.0033,0.002,0.0044,0.0013,0.0039,0.0016,0.0024,0.0495,0.0017,0.014,0.0004,0.0111,0.0003,0.0088,0.0004,0.0059,0.0003,0.0051,0.0001,0.0034,0.0001,0.038,0.0241,0.1433,0.0201,0.3818,0.0852,0.4455,1,2020-11-24 17:54:40.878138
0.18906207382678986,0.0002,0.0004,0.0875,0.0168,0.0354,0.0059,0.0202,0.0044,0.0291,0.0044,0.0246,0.0044,0.0191,0.004,0.0161,0.0039,0.0178,0.0032,0.0182,0.0024,0.0121,0.0008,0.0114,0.0006,0.0105,0.0008,0.0127,0.0008,0.0122,0.0009,0.0133,0.001,0.0072,0.0007,0.0299,0.0189,0.0246,0.0189,0.0259,0.0189,0.0266,0.0189,0.0193,0.0189,0.0269,0.0189,0.0254,0.0189,0.017,0.0189,0.004,0.004,0.0023,0.0029,0.0026,0.0032,0.0014,0.0024,0.0017,0.0031,0.0016,0.0028,0.0016,0.0018,0.0532,0.0023,0.0177,0.0005,0.0154,0.0004,0.0112,0.0003,0.0074,0.0003,0.0059,0.0002,0.0038,0.0001,0.0459,0.0241,0.1605,0.0211,0.4272,0.08,0.4926,1,2020-11-24 17:54:49.800403
0.06947371363639832,0.0001,0.0003,0.0405,0.0071,0.0196,0.0042,0.0152,0.0041,0.015,0.004,0.0139,0.0025,0.0125,0.0036,0.0123,0.0031,0.0102,0.0026,0.0075,0.0021,0.0036,0.0008,0.0042,0.0008,0.0041,0.0006,0.004,0.0005,0.0037,0.0009,0.0043,0.0007,0.0029,0.0003,0.0159,0.0116,0.0119,0.0116,0.0117,0.0116,0.0121,0.0116,0.0081,0.0116,0.0129,0.0116,0.0111,0.0116,0.0077,0.0116,0.002,0.0035,0.0016,0.0029,0.0017,0.003,0.0011,0.0015,0.0016,0.0032,0.0015,0.0023,0.0009,0.0016,0.0194,0.0013,0.0049,0.0005,0.005,0.0002,0.0043,0.0003,0.0029,0.0002,0.0028,0.0001,0.0015,0.0001,0.0199,0.0058,0.0749,0.0152,0.2091,0.0422,0.2405,1,2020-11-24 17:54:58.727194
0.08558804541826248,0.0001,0.0002,0.0275,0.0037,0.0134,0.0021,0.0112,0.0018,0.0108,0.002,0.0079,0.0012,0.0099,0.0014,0.0079,0.0014,0.007,0.0011,0.0033,0.0008,0.0022,0.0006,0.0017,0.0003,0.002,0.0005,0.0017,0.0002,0.0023,0.0004,0.0021,0.0004,0.0014,0.0002,0.0056,0.0051,0.0063,0.0051,0.0049,0.0051,0.0067,0.0051,0.0046,0.0051,0.0067,0.0051,0.006,0.0051,0.0044,0.0051,0.0011,0.0019,0.0011,0.0012,0.0011,0.0015,0.0007,0.0007,0.001,0.0012,0.0009,0.0009,0.0006,0.0007,0.0122,0.0008,0.0065,0.0004,0.0055,0.0002,0.0052,0.0002,0.0034,0.0002,0.0029,0.0001,0.0013,0.0001,0.0194,0.0031,0.0429,0.0069,0.1494,0.0284,0.1663,1,2020-11-24 17:55:07.646985
